ST-LU_,ST,LU,NA,NA,FALSE,3185,11,539,64702,8630
ST-OW_,ST,OW,NA,NA,FALSE,23295,1536,15388,1845698,34323
ST-AI_,ST,AI,NA,NA,FALSE,2843,293,2726,327183,21452
ST-GL_,ST,GL,NA,NA,FALSE,15364,507,6132,735921,20983
ST-AG_,ST,AG,NA,NA,FALSE,921,0,83,6888,5456
ST-GR_,ST,GR,NA,NA,FALSE,704,25,239,28639,19182
ST-BE_,ST,BE,NA,VS,FALSE,16792,835,8664,1029623,41756
ST-VD_,ST,VD,NA,NA,FALSE,520,0,61,7293,867
ST-ZG_,ST,ZG,NA,NA,FALSE,320,0,44,5282,1756
ST-SG_,ST,SG,NA,NA,FALSE,1062,11,200,24019,11226
ST-NE_,ST,NE,NA,NA,FALSE,16739,228,4059,484116,36620
ST-FR_,ST,FR,NA,NA,FALSE,1059,1,125,15002,13020
ST-TG_,ST,TG,NA,NA,FALSE,571,0,74,8874,2566
ST-BL_,ST,BL,NA,NA,FALSE,3008,92,1107,132842,33118
ST-NW_,ST,NW,NA,NA,FALSE,2054,111,953,114441,24091
ST-AR_,ST,AR,NA,NA,FALSE,2821,139,1446,173532,3931
ST-SZ_,ST,SZ,NA,NA,FALSE,2356,23,515,61833,2961
ST-UR_,ST,UR,NA,NA,FALSE,18813,454,6311,752649,32652
ST-BS_,ST,BS,NA,NA,FALSE,1202,3,166,19907,11636
ST-GE_,ST,GE,NA,NA,FALSE,1290,0,135,16206,32964
ST-ZH_,ST,ZH,NA,NA,FALSE,2084,2,330,39628,12020
ST-TI_,ST,TI,NA,GR,FALSE,21903,879,10047,1204023,53853
ST-SO_,ST,SO,NA,NA,FALSE,4146,29,823,98801,11364
ST-VS_,ST,VS,NA,NA,FALSE,13744,1136,11149,1337952,16242
ST-JU_,ST,JU,NA,NA,FALSE,1695,6,192,21276,5284
ST-BE_VS,ST,BE,VS,NA,FALSE,22595,1365,13848,1661310,32565
ST-SH_,ST,SH,NA,NA,FALSE,450,0,44,5231,995
ST-TI_GR,ST,TI,GR,NA,FALSE,24899,1272,13021,1548349,249644
